ITEM_NM,SUBITEM_NM,CTPRVN_NM,SIGNGU_NM,CLUB_NM,TROBL_TY_NM,OPER_TIME_CN,CLUB_INTRCN_CN
검도,,경기,,검도 개인(클럽없음),,,클럽에 소속되지 않은 동호인이 검도종목 대회에 참가하기위해 신청하는 클럽입니다.
검도,,경기,동두천시,두드림장애인검도클럽,지체장애,"매주 수, 오후2시",
검도,,대전,동구,발달장애인 검도교실,지적장애,"매주 화, 수 오전11시",발달장애인 주간활동서비스 검도교실입니다
골볼,,충남,아산시,2021년 아산스마트장애인골볼클럽,시각장애,매주 금 오전 10시 30분~11시 30분,
골볼,,광주,서구,광주골볼동호회,시각장애,매주 토 오후 3시,
기타,,대전,,기타 개인(클럽없음),,,클럽에 소속되지 않은 동호인이 기타종목 대회에 참가하기위해 신청하는 클럽입니다.
기타,족구,강원,정선군,정선와와족구단,기타장애,"매주 화,목 오후 7시30분","정선와와족구단은 2021년도 4월17일 전국최초 장애인족구단을 창단하였으며, 장애인과 비장애인의 어울림 생활스포츠로 함께 하는 공동체의식과 장애인생활 스포츠의 발전과 건강한 생활스포츠로 자리매김 하기를 바라면서, 창단하게 되었습니다."
기타,쇼다운,충남,태안군,장애인생활체육쇼다운교실,시각장애,매주월요일오후2시,
기타,기타,대전,유성구,펀펀,기타장애,"매주 수,금 오전 10:30","중증장애인들이단기거주하며 생활하는 곳 입니다. 다양한 체육활동으로 근육이 이완되고, 행복하고 건강한 생활을 유지합니다"
기타,,충북,제천시,2021 세하 인라인 클럽,지적장애,매주 금 13:30~15:30,충북 제천시 장애인 시설 세상에서 하나뿐인 집 &apos;세하의집&apos; 인라인 클럽입니다.
기타,기타,부산,수영구,오션웨이브,기타장애,지정시간,"1. 사업목적 및 방침   ? Total Leisure Sports(SUP, Swimming, Scuba, Surfing, SKI 등)를 통해 장애인?비장애인의 건강증진 및 건전한 여가선용의 기회를 제공하여 삶의 질을 높인다.   ? 선수 및 지도사의 양성을 통해 경기력 향상을 도모하여 지역사회 문화 발전에 이바지 한다.   ? 전문기술의 습득을 통해 장애의 벽을 허물고 나아가 사회와 함께하는 자긍심을 높인다.   ? 장애인에 대한 비장애인의 이해증진을 통해 더불어 함께 사는 사회분위기를 조성한다.  2. 참여자 모집 및 관리 방안   ? Total Leisure Sports(SUP, Swimming, Scuba, Surfing, SKI 등) 기초교육과 자격증 취득교육과 건강수영?재활수영에서 엘리트 수영까지 전문적이고 활성화된 생활체육으로서 도전과 극복정신으로 진취적인 자아개발을 위한 지원   ? 경기력 향상을 위한 각종 대회 참가 및 동호회규모의 소규모 대회개최와 같은 프로그램 개발   ? Total Leisure Sports(SUP, Swimming, Scuba, Surfing, SKI 등)라는 건전한 여가생활기회의 제공을 통해 장애인?비장애인의 사회참여 유도   ? Total Leisure Sports(SUP, Swimming, Scuba, Surfing, SKI 등) 프로그램을 통해 장애와 비장애에 대한 이해도를 높이고 더불어 함께 할 수 있도록 유도"
기타,스트레칭,충남,태안군,장애인생활체육스트레칭교실,지적장애,매주 화요일오전10시30분,
기타,뉴스포츠,경남,양산시,양산정다운한궁동호회,시각장애,"매주 화, 금 오후 1시",
기타,헬스,경기,성남시중원구,성남헬스클럽,지적장애,매주 토요일 오전11시,"건강체력을 향상시키고 심신의 안정을 취할 수 있도록 하는데 그 목적이 있으며,  나아가 장애 비장애인이 함께 운동하는 공간을 만들며 통합체육의 발판을 마련하는데 그의의가 있다."
기타,낚시,경남,사천시,장애인 낚시동아리 휠링피싱,지체장애,연중 5회 낚시활동,장애인 낚시동아리 휠링피싱
기타,골프,서울,서초구,서초구 버디버디 골프동호인클럽,지적장애,"매주  금 17시~21시, 70분",어릴때부터 골프 좋아해서 열심히 운동하는 우리 버디버디 소속 아이들이 이제 성인이 되서도 골프를 좋아해서 비장애인 아이들과 함께 연습도 하고 라운드도 가고 스크린도 칩니다. 감사한 일입니다~
기타,낚시,경남,통영시,통영이순신낚시클럽,기타장애,매주 목 오후 4시,"선원출신 장애인과 비장애인(자원봉사자 및 활동보조인, 보호자 및 가족) 자율적이고 협동적인 자치활동을 통하여 스포츠 정신에 입각한 건설적인 발전을 추구함은 물론 상호간의 상부상조와 친목을 도모하며 장애인의 재활을 목적으로 한다."
기타,기타,부산,해운대구,아쿠아웨이브,기타장애,매주 금 오후3시,1. 사업목적 및 방침   ? 아쿠아활동을 통해 장애인?비장애인의 건강증진 및 건전한 여가선용의 기회를 제공하여 삶의 질을 높인다.   ? 선수 및 지도사의 양성을 통해 경기력 향상을 도모하여 지역사회 문화 발전에 이바지 한다.   ? 전문기술의 습득을 통해 장애의 벽을 허물고 나아가 사회와 함께하는 자긍심을 높인다.   ? 장애인에 대한 비장애인의 이해증진을 통해 더불어 함께 사는 사회분위기를 조성한다.  2. 참여자 모집 및 관리 방안   ? 아쿠아활동 기초교육과 자격증 취득교육과 건강수영?재활수영에서 엘리트 수영까지 전문적이고 활성화된 생활체육으로서 도전과 극복정신으로 진취적인 자아개발을 위한 지원   ? 경기력 향상을 위한 각종 대회 참가 및 동호회규모의 소규모 대회개최와 같은 프로그램 개발   ? 아쿠아활동이라는 건전한 여가생활기회의 제공을 통해 장애인?비장애인의 사회참여 유도   ? 아쿠아활동 프로그램을 통해 장애와 비장애에 대한 이해도를 높이고 더불어 함께 할 수 있도록 유도
기타,기타,경남,거제시,꿈더하기,지적장애,매주 화요일 오후4시,청소년기 발달장애인들에게 클라이밍을 매개체로 신체적 기능향상과 건전한 여가활동을 위해 활동하며 재능이 있는 친구들은 선수로 육성합니다.
기타,뉴스포츠,충남,태안군,2021년 장애인생활체육 뉴스포츠 교실,지적장애,매주 화 오전 10시 30분,
기타,스트레칭,충남,태안군,장애인생활체육스트레칭교실,시각장애,매주 목요일 오전11시,
기타,기타,충남,태안군,장애인생활체육체력증진교실,지적장애,"매주 화,수,금 오후 6시",
기타,인라인스케이트,서울,은평구,피터팬인라인스케이트,지적장애,매주 토 오전 10시,"피터팬인라인클럽은 발달장애아동, 청소년, 비장애인이 함께 즐겁고 건강하게 성장하여, 행복한 삶을 살아가는 인라인스케이트클럽입니다."
기타,풋살,전남,영암군,소림풋살클럽,지적장애,매주 화요일 오후 3시 30분,
기타,유아체육,충남,태안군,장애인생활체육튼튼교실,기타장애,매주 월요일 오전 10시30분,
기타,기타,경남,고성군,고성시각장애인쇼다운,시각장애,매주 금요일 오후10시,
기타,기타,경남,의령군,소리손한궁클럽,시각장애,매주 수 오후1시,"경남시각장애인복지연합회 의령군지회 내 의령군 시각장애인 주간보호소는 지역의 특성상 회원의 대다수가 고령으로 배울 수 있는 교육이 한정되어 있다. 한궁은 연령과 장애정도와 상관없이 장애인도 비장애인도 함께 즐길 수 있는 스포츠며 양손을 활용하는 운동으로 집중력을 향상시키고 신체의 유연성과 몸의 좌우균형을 유지하는데 효과적인 운동이다. 장애인체육동아리 소리손 한궁클럽을 통해 체육활동의 범위를 넓힐 수 있는 기회를 제공하고, 새로운 도전을 통해 자신감을 향상시키며 성취감을 달성할 수 있도록 목표의식을 고치시키고자 한다. 또한 시각장애인의 자립도를 향상시키고, 정치적 사회적 경제적 문화적 지위를 격상시키며 시각장애인의 복리증진과 권익옹호를 도모, 완전한 사회참여와 평등이념을 실현하고 자립의욕을 고취하는데 긍정적인 영향을 주고자한다."
기타,특수체육,전남,목포시,시각장애인체력증진클럽,시각장애,"매주 토, 17:00~18:00",
기타,마라톤,경남,고성군,고성희망새마라톤클럽,지적장애,"매주 목, 오후 2시",지적장애인 생활인들로 구성된 회원들의 친목 도모와 스포츠활동을 통한 건강한 체력유지와 삶의 기쁨을 누리고자 클럽활동을 하고 있음 클럽활동을 시작하고 대회에 참석하여 장애인부에서 남녀 1등을 차지하기도 하여 하였음
기타,등산,경기,성남시,성남시장애인재활산악클럽,지체장애,"월 1회,목요일 14:00~16:00",성남시장애인재활산악클럽은 여러 명소를 돌아다니며 활동을 하여 재활에 도움을 주는 클럽입니다.
기타,,충북,제천시,2021 한궁데프클럽,청각장애,매주 목 14:00~15:00,많은 참여 부탁드립니다.
기타,에어로빅,경기,화성시,참나리에어로빅클럽,지적장애,"매주 금, 오전 10",참나리에어로빅클럽은 발달장애인을 위한 생활체육 (에어로빅) 클럽으로 발달장애인의 건강을 위한 재활스포츠의 일환으로 만들어졌습니다
기타,뉴스포츠,대구,남구,2021년 더불어뉴스포츠동호인클럽,지적장애,매주 목 오전 10시,더불어남구장애인주간보호에서는 다양한 체육활동을 통해 이용자분들의 삶의 질을 높이고 성취감을 통해 자신감을 향상시키기 위해 매주 목요일 오전 10시에 생활체육을 실시합니다.
기타,,경남,,기타 개인(클럽없음),,,클럽에 소속되지 않은 동호인이 기타종목 대회에 참가하기위해 신청하는 클럽입니다.
기타,필라테스,전남,목포시,목포장애인필라테스동호회,지체장애,매주 월 오전11시,
기타,기타,경남,양산시,양산신장콘홀동호회,기타장애,매주 목 14시,"신장장애인들로 구성된 동호회로 콘홀을 통한 장애인들의 신체능력, 집중력, 소속감 향상 및 회원간의 친목도모를 목적으로 운영"
기타,등산,부산,북구,부산어울림장애인트래킹클럽,뇌병변장애,매주토요일오후2시,부산장애인어울림트래킹클럽 은 장애인 비장애인 들이 한달에 1~2회모여 부산 경남일대를 트래킹하는 모임 입니다
기타,빙상,광주,서구,Skate Camp,기타장애,"매주 화,목 오후5시",빙상동호인 어울림 클럽
