FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,RPRSNTV_TEL_NO,RDNMADR_CD,FCLTY_ROAD_NM_ADDR,FCLTY_CRDNT_LO,FCLTY_CRDNT_LA,GID_CD
금만검도관,45,전북,45210,김제시,0635454525,452104616250,전라북도 김제시 도작9길 14금만검도관(신풍동),126.8980745,35.8029579,다마456564
모모아동발달센터,28,인천,28185,연수구,0328119872,281854256163,인천광역시 연수구 앵고개로264번길 10-113층 모모아동발달센터(동춘동),126.6718754,37.4074823,다사267345
(주)어뮤즈,44,충남,44130,천안시,025566742,441333351004,충청남도 천안시 서북구 불당25로 146605호(불당동),127.1077361,36.8141843,다바650685
(주)꿈자라다,41,경기,41130,성남시,0317191441,411353180041,경기도 성남시 분당구 야탑로 32삼부빌딜 4층(야탑동),127.1226151,37.4087827,다사666344
(주)다비드짐,26,부산,26320,북구,0519882114,263204196123,부산광역시 북구 덕천로281번길 122층 다비드짐(만덕동),129.0350988,35.2101945,마라397916
(주)엠엔제이 정석볼링장,44,충남,44825,태안군,026740880,448253264037,충남 태안군 태안읍 환동로 31-14정석볼링장,126.2916948,36.7494849,나바921619
(주)애플스포츠,43,충북,43130,충주시,0438541919,431303238030,"충청북도 충주시 삼원로 751층,2층(봉방동)",127.9205882,36.9736036,라바374862
(주)디에스그룹 달서복싱 대곡점,27,대구,27710,달성군,0532447362,277103007026,대구광역시 달성군 화원읍 비슬로 2707-14층 달서복싱,128.5112849,35.8091925,라마913574
(사)광주광역시 거점스포츠클럽,29,광주,29140,서구,0623760985,291403009011,광주광역시 서구 금화로 240월드컵경기장 203호(풍암동),126.8748916,35.1337232,다라430822
(유)라온볼링센터,45,전북,45110,전주시,0632722500,451133267021,전라북도 전주시 덕진구 매봉로 40지하1층(금암동),127.1416875,35.8417487,다마676606
(주)시흥비젼센터,41,경기,41390,시흥시,0313197929,413903199015,경기도 시흥시 마유로 416B1 (주)시흥비젼센터(정왕동),126.7412650,37.3516037,다사328283
(주)무브먼트디자인,11,서울,11200,성동구,024650996,112004109422,서울특별시 성동구 왕십리로14길 30-32층(성수동1가),127.0473449,37.5483776,다사600499
(주)스타칼리휘트니스,11,서울,11410,서대문구,0231414477,114103112019,서울특별시 서대문구 연희로 82브라운스톤 지하1층 스타칼리휘트니스(연희동),126.9302083,37.5652128,다사496519
(사)신나는사상스포츠클럽,26,부산,26380,사하구,023197330,265304217010,부산광역시 사상구 가야대로 196번길 51다누림센터,128.9950795,35.1473936,마라361845
(주)옹이진이스포츠진흥원,28,인천,28720,옹진군,0327511199,287204274221,인천광역시 옹진군 북도면 장봉로530번길 34(주)옹이진이스포츠진흥원,126.3391735,37.5339369,나사974489
(주)하루하루움직임연구소,26,부산,26350,해운대구,0517461152,263503133004,부산광역시 해운대구 마린시티2로 21907호(우동),129.1442096,35.1593400,마라497861
(주)한국스포츠산업개발원,27,대구,27290,달서구,0536220095,272903147045,대구광역시 달서구 학산로 17지하1층(월성동),128.5310970,35.8275367,라마931594
(사)울산동구공공스포츠클럽,31,울산,31170,동구,0522339222,311703171003,울산광역시 동구 대송로 1402층 스포츠센터(화정동),129.4226036,35.4959565,마마743239
(주)위드아동청소년발달센터,47,경북,47110,포항시,0542937184,471114709047,경상북도 포항시 남구 오천읍 냉천로320번길 48신현대빌딩 3층,129.4038166,35.9660658,마마716760
더 베스트 안성태권도장,41,경기,41550,안성시,0316758585,415504424098,경기도 안성시 금산2길 171층(금산동),127.2713194,37.0123450,다바796904
원 당구클럽,44,충남,44270,당진시,0413536661,442703265019,충청남도 당진시 석문면 대호만로 17702층,126.5354662,37.0146523,다바141911
더-리햅 맞춤재활운동센터,11,서울,11290,성북구,029093493,112904121456,서울특별시 성북구 월계로40길 7센트럴타운4층(장위동),127.0483740,37.6229606,다사601582
건승,42,강원,42150,강릉시,,421504460664,"강원도 강릉시 연당길 634층(초당동), 건승피트니스",128.9155750,37.7834462,마사246769
금곡 태권도,28,인천,28260,서구,0325620022,282604268546,인천광역시 서구 완정로228번길 9401호 금곡 태권도(금곡동),126.6513368,37.6046396,다사250564
